CaseID,Activity,Timestamp
0003c2e2-97ef-460c-a7b9-aca0944c6a12,A,2020-03-18 10:44:18
0003c2e2-97ef-460c-a7b9-aca0944c6a12,B,2020-03-18 12:30:17
0003c2e2-97ef-460c-a7b9-aca0944c6a12,C,2020-03-18 14:06:09
0003c2e2-97ef-460c-a7b9-aca0944c6a12,D,2020-03-18 15:06:04
0003c2e2-97ef-460c-a7b9-aca0944c6a12,E,2020-03-18 15:23:04
0003c2e2-97ef-460c-a7b9-aca0944c6a12,F,2020-03-18 17:12:57
00048563-efbf-4260-af10-d75abcab6541,A,2020-02-27 02:33:26
00048563-efbf-4260-af10-d75abcab6541,B,2020-02-27 03:36:32
00048563-efbf-4260-af10-d75abcab6541,C,2020-02-27 03:53:32
00048563-efbf-4260-af10-d75abcab6541,E,2020-02-27 04:55:33
00048563-efbf-4260-af10-d75abcab6541,G,2020-02-27 06:43:27
0007748a-0533-4c2d-b82e-586a5e7b6638,A,2020-02-10 01:44:07
0007748a-0533-4c2d-b82e-586a5e7b6638,B,2020-02-10 03:15:59
0007748a-0533-4c2d-b82e-586a5e7b6638,C,2020-02-10 05:10:54
0007748a-0533-4c2d-b82e-586a5e7b6638,G,2020-02-10 06:41:49
000bee40-847b-4ad9-ac51-a4b73bf6f7da,A,2020-01-21 00:19:12
000bee40-847b-4ad9-ac51-a4b73bf6f7da,B,2020-01-21 00:57:12
000bee40-847b-4ad9-ac51-a4b73bf6f7da,C,2020-01-21 01:22:14
000bee40-847b-4ad9-ac51-a4b73bf6f7da,D,2020-01-21 02:29:14
000bee40-847b-4ad9-ac51-a4b73bf6f7da,E,2020-01-21 03:39:01
000bee40-847b-4ad9-ac51-a4b73bf6f7da,F,2020-01-21 04:20:04
001724b0-3566-426b-83c6-ab1efc78dbe5,A,2020-01-24 04:22:29
001724b0-3566-426b-83c6-ab1efc78dbe5,B,2020-01-24 05:36:35
001724b0-3566-426b-83c6-ab1efc78dbe5,C,2020-01-24 06:06:33
001724b0-3566-426b-83c6-ab1efc78dbe5,H,2020-01-24 06:40:30
00227725-ad93-4e6f-a280-095f5971dc3d,A,2020-01-07 04:51:10
00227725-ad93-4e6f-a280-095f5971dc3d,B,2020-01-07 05:27:21
00227725-ad93-4e6f-a280-095f5971dc3d,C,2020-01-07 06:23:21
00227725-ad93-4e6f-a280-095f5971dc3d,E,2020-01-07 07:53:17
00227725-ad93-4e6f-a280-095f5971dc3d,F,2020-01-07 09:43:30
0033f5ec-746f-4a0e-af3a-b25f0257a442,A,2020-01-31 17:54:23
0033f5ec-746f-4a0e-af3a-b25f0257a442,B,2020-01-31 18:32:45
0033f5ec-746f-4a0e-af3a-b25f0257a442,C,2020-01-31 20:14:23
0033f5ec-746f-4a0e-af3a-b25f0257a442,E,2020-01-31 21:54:20
0033f5ec-746f-4a0e-af3a-b25f0257a442,H,2020-01-31 23:45:17
003f1a41-5589-4634-81f8-dfe36e497198,A,2020-03-03 16:16:01
003f1a41-5589-4634-81f8-dfe36e497198,B,2020-03-03 16:47:58
003f1a41-5589-4634-81f8-dfe36e497198,C,2020-03-03 17:19:51
003f1a41-5589-4634-81f8-dfe36e497198,E,2020-03-03 17:36:29
003f1a41-5589-4634-81f8-dfe36e497198,F,2020-03-03 18:19:21
0041ce0f-624f-442e-9cc5-51127f307ad1,A,2020-01-27 12:19:23
0041ce0f-624f-442e-9cc5-51127f307ad1,B,2020-01-27 13:51:21
0041ce0f-624f-442e-9cc5-51127f307ad1,C,2020-01-27 15:26:19
0041ce0f-624f-442e-9cc5-51127f307ad1,H,2020-01-27 17:23:16
0069a8a6-d46e-40db-b4b7-0d94f7b043ff,A,2020-02-23 02:40:19
0069a8a6-d46e-40db-b4b7-0d94f7b043ff,B,2020-02-23 04:08:23
0069a8a6-d46e-40db-b4b7-0d94f7b043ff,C,2020-02-23 05:05:13
0069a8a6-d46e-40db-b4b7-0d94f7b043ff,D,2020-02-23 06:03:07
0069a8a6-d46e-40db-b4b7-0d94f7b043ff,E,2020-02-23 07:29:10
0069a8a6-d46e-40db-b4b7-0d94f7b043ff,F,2020-02-23 08:24:07
009a0d9a-6dfd-4f7c-987b-29ac2153b438,A,2020-02-17 00:08:05
