CaseID,Activity,Timestamp
1000,A,2020-01-01 01:02:00
1000,E,2020-01-01 01:22:00
1000,B,2020-01-01 02:52:00
1000,E,2020-01-01 04:19:00
1000,C,2020-01-01 04:39:00
1000,B,2020-01-01 07:08:00
1000,E,2020-01-01 09:59:00
1000,E,2020-01-01 11:16:00
1000,A,2020-01-01 13:51:00
1000,E,2020-01-01 15:20:00
1000,D,2020-01-01 19:00:00
1000,E,2020-01-01 22:20:00
1000,B,2020-01-02 01:23:00
1000,A,2020-01-02 01:40:00
1000,C,2020-01-02 04:01:00
1000,A,2020-01-02 06:49:00
1000,B,2020-01-02 09:09:00
1000,C,2020-01-02 13:06:00
1000,C,2020-01-02 15:14:00
1000,E,2020-01-02 17:42:00
1001,A,2020-01-01 02:48:00
1001,E,2020-01-01 04:59:00
1001,A,2020-01-01 06:39:00
1001,E,2020-01-01 08:40:00
1001,A,2020-01-01 10:34:00
1001,C,2020-01-01 13:12:00
1001,D,2020-01-01 14:54:00
1001,E,2020-01-01 16:16:00
1001,A,2020-01-01 16:31:00
1001,D,2020-01-01 19:24:00
1001,B,2020-01-01 20:39:00
1001,A,2020-01-02 00:07:00
1001,A,2020-01-02 02:42:00
1001,D,2020-01-02 05:36:00
1001,E,2020-01-02 07:40:00
1001,B,2020-01-02 11:23:00
1001,B,2020-01-02 13:33:00
1001,C,2020-01-02 14:30:00
1001,C,2020-01-02 15:15:00
1001,C,2020-01-02 19:01:00
1002,C,2020-01-01 03:46:00
1002,B,2020-01-01 06:30:00
1002,B,2020-01-01 07:36:00
1002,D,2020-01-01 10:08:00
1002,A,2020-01-01 13:33:00
1002,C,2020-01-01 15:02:00
1002,A,2020-01-01 18:32:00
1002,C,2020-01-01 18:53:00
1002,E,2020-01-01 21:48:00
1002,E,2020-01-01 22:18:00
1002,D,2020-01-01 23:09:00
1002,D,2020-01-02 01:06:00
1002,C,2020-01-02 03:14:00
1002,D,2020-01-02 05:06:00
1002,B,2020-01-02 05:19:00
1002,C,2020-01-02 08:41:00
1002,E,2020-01-02 09:11:00
1002,E,2020-01-02 10:51:00
1002,E,2020-01-02 13:11:00
